Tibetan,English
འདི་ནི་བྱང་ཆུབ་སེམས་སྟོབས་ཀྱིས། །སྔོན་གྱི་སྡིག་པ་ཟད་བྱེད་ཅིང་། །བསོད་ནམས་རྒྱ་མཚོ་སྡུད་བྱེད་ཕྱིར། །ཉན་ཐོས་རྣམས་པས་མཆོག་ཏུ་བཤད། །,"This is the power of the enlightened mind,<br>Which exhausts previous negative karma,<br>And gathers an ocean of merit.<br>Therefore, it is taught to be supreme, even surpassing the hearers."
དེ་བས་སྐྱོ་ངལ་ཀུན་སེལ་བའི། །བྱང་ཆུབ་སེམས་ཀྱི་རྟ་ཞོན་ནས། །,"Therefore, mounting the horse of bodhicitta,<br>Which dispels all weariness and fatigue,"
བདེ་ནས་བདེ་བར་འགྲོ་བ་ལ། །སེམས་ཤེས་སུ་ཞིག་སྒྱིད་ལུག་འགྱུར། །,Who with an understanding mind would become lazy<br>On the path that leads from happiness to happiness?
སེམས་ཅན་དོན་གྲུབ་བྱ་ཕྱིར་དཔུང་། །མོས་བརྟན་དགའ་དང་དོར་བ་ཡིན། །,"For the purpose of accomplishing the welfare of sentient beings,<br>The forces are aspiration, steadfastness, joy, and renunciation."
མོས་པ་སྡུག་བསྔལ་འཇིགས་པ་དང་། །དེ་ཡི་ཕན་ཡོན་བསམ་པས་བསྐྱེད། །,"Faith arises from contemplating<br>The fears and sufferings [of samsara],<br>And the benefits [of liberation]."
དེ་ལྟར་མི་མཐུན་ཕྱོགས་སྤངས་ཏེ། །མོས་དང་ང་རྒྱལ་དགའ་དང་དོར། །ལྷུར་ལེན་དབང་བསྒྱུར་སྟོབས་ཀྱིས་ནི། །བརྩོན་འགྲུས་སྤེལ་ཕྱིར་འབད་པར་བྱ། །,"Thus, having abandoned opposing factors,<br>With devotion, pride, joy, and renunciation,<br>Through mastery, control, and strength,<br>One should strive to increase diligence."
བདག་དང་གཞན་གྱི་ཉེས་པ་ནི། །དཔག་མེད་བདག་གིས་གཞོམ་བྱ་སྟེ། །,"I shall overcome countless faults,<br>Both my own and those of others."
གང་དུ་ཉེས་པ་རེ་རེ་ལའང་། །བསྐལ་པ་རྒྱ་མཚོ་ཟད་འགྱུར་བ། །ཉེས་ཟད་རྩོམ་པ་དེ་ཡི་ནི། །ཆ་ཡང་བདག་ལ་མ་མཐོང་ན། །སྡུག་བསྔལ་དཔག་ཏུ་མེད་པའི་གནས། །བདག་གོ་ཅི་ཕྱིར་སྙིང་མ་གས། །,"Where even for a single wrongdoing,<br>An ocean of eons would be exhausted,<br>Yet not even a fraction of effort<br>To exhaust my misdeeds do I see in myself.<br>A place of immeasurable suffering -<br>Why does my heart not break?"
བདག་དང་གཞན་གྱི་ཡོན་ཏན་ནི། །མང་པོ་བདག་གིས་བསྒྲུབ་བྱ་སྟེ། །,I should accomplish many virtues<br>For myself and for others.
དེ་ལ་ཡོན་ཏན་རེ་རེ་ཡང་། །བསྐལ་པ་རྒྱ་མཚོས་གོམས་འགྱུར་ན། །བདག་ནི་ཡོན་ཏན་ཆ་ལ་ཡང་། །གོམས་པ་ནམ་ཡང་མ་སྐྱེས་ཏེ། །,"Even if each individual virtue<br>Is practiced for oceans of eons,<br>I have never developed<br>Even a fraction of such virtues."
ཇི་ཞིག་ལྟར་རྙེད་སྐྱེ་བ་ནི། །བདག་གིས་དོན་མེད་བྱས་པ་མཚར། །,"How wonderful that I have found this birth,<br>Yet I have wasted it on meaningless pursuits."
བདག་གིས་བཅོམ་ལྡན་མ་མཆོད་ཅིང་། །དགའ་སྟོན་ཆེན་པོའི་བདེ་མ་བྱིན། །བསྟན་ལ་བྱ་བ་མ་བྱས་དང་། །དབུལ་པོའི་བསམ་པ་རྫོགས་མ་བྱས། །འཇིགས་ལ་མི་འཇིགས་མ་བྱིན་དང་། །ཉམ་ཐག་བདེ་མ་བྱིན་ན་བདག །མ་ཡི་མངལ་གྱི་ཟུག་རྔུ་དང་། །སྡུག་བསྔལ་འབའ་ཞིག་བསྐྱེད་པར་ཟད། །,"tags:<br><br><t><br>If I have not worshipped the Blessed One,<br>Nor given the joy of a great festival,<br>Nor worked for the benefit of the Dharma,<br>Nor fulfilled the wishes of the poor,<br>Nor given fearlessness to the frightened,<br>Nor brought comfort to the suffering,<br>Then I have only produced<br>The pain and suffering of a mother's womb."
བདག་ནི་སྔོན་དང་ད་ལྟར་ཡང་། །ཆོས་ལ་མོས་དང་བྲལ་བ་ཡིས། །ཕོངས་པ་འདི་འདྲ་བྱུང་བར་གྱུར། །,"Due to my lack of faith in the Dharma,<br>Both in the past and even now,<br>I have fallen into such a state of poverty."
སུ་ཞིག་ཆོས་ལ་མོས་པ་གཏོང་། །,Who abandons devotion to the Dharma?
དགེ་བའི་ཕྱོགས་ནི་ཐམས་ཅད་ཀྱི། །རྩ་བ་མོས་པར་ཐུབ་པས་གསུངས། །,The Sage (Buddha) has proclaimed that faith<br>Is the root of all virtuous qualities.
དེ་ཡི་རྩ་བ་རྟག་ཏུ་ནི། །རྣམ་སྨིན་འབྲས་བུ་བསྒོམས་པས་སོ། །,The root of that is always<br>Meditating on the ripened fruit (karmic results).
སྡུག་བསྔལ་ཡིད་མི་བདེ་བ་དང་། །འཇིགས་པ་རྣམ་པ་སྣ་ཚོགས་དང་། །འདོད་པ་རྣམས་དང་བྲལ་བ་ནི། །སྡིག་པ་སྤྱོད་ལས་འབྱུང་བར་འགྱུར། །,"Suffering, unhappiness, and<br>Various kinds of fears,<br>As well as separation from desires -<br>These arise from engaging in wrongful actions."
ཡིད་ལ་བསམས་པའི་དགེ་བྱས་པས། །གང་དང་གང་དུ་འགྲོ་འགྱུར་བ། །དེ་དང་དེར་ནི་བསོད་ནམས་དེས། །འབྲས་བུའི་ཡོན་གྱིས་མངོན་མཆོད་འགྱུར། །,"tags:<br><br><t><br>By performing virtuous deeds with mindful intention,<br>Wherever one may go,<br>There, through the merit of those actions,<br>One will be honored with the fruits of virtue."
སྡིག་པ་བྱེད་པ་བདེ་འདོད་ཀྱང་། །གང་དང་གང་དུ་འགྲོ་འགྱུར་བ། །དེ་དང་དེར་ནི་སྡིག་པ་དེས། །སྡུག་བསྔལ་མཚོན་གྱིས་རྣམ་པར་འཇོམས། །,"Though one who commits evil deeds desires happiness,<br>Wherever they may go,<br>There, that evil<br>Destroys them with the weapon of suffering."
རྒྱ་ཆེ་དྲི་བཟང་བསེལ་བའི་པདྨའི་སྙིང་པོར་གནས། །,"Dwelling in the heart of a vast, fragrant lotus"
རྒྱལ་བའི་གསུང་སྙན་ཟས་ཀྱིས་གཟི་བརྗིད་བསྐྱེད་བྱས་པ། །ཐུབ་འོད་ཀྱིས་རྒྱས་པདྨ་ལས་བྱུང་ལུས་མཆོག་ཅན། །རྒྱལ་བའི་མདུན་གནས་བདེ་གཤེགས་སྲས་སུ་དགེ་བས་འགྱུར། །,"The glorious body nourished by the sweet nectar of the Buddha's speech,<br>Arising from the lotus expanded by the light of the Sage,<br>Standing before the Victorious One, through virtue becomes a child of the Tathagatas."
གཤིན་རྗེའི་སྐྱེས་བུས་པགས་པ་མ་ལུས་བཤུས་པས་ཤིན་ཏུ་ཉམ་ཐག་ཅིང་། །,"The being of the Lord of Death completely flayed off all the skin, causing extreme suffering and misery."
རབ་ཏུ་ཚ་བའི་མེ་ཡིས་བཞུས་པའི་ཟངས་ཞུན་ལུས་ལ་བླུགས་གྱུར་ལ། །འབར་བའི་རལ་གྲི་མདུང་ཐུང་གིས་བསྣུན་ཤ་ཡི་དུམ་བུ་བརྒྱར་ལྷགས་ཤིང་། །ཤིན་ཏུ་འབར་བའི་ལྕགས་ཀྱི་ས་གཞིར་ལྷུང་བ་མི་དགེ་མང་པོས་འགྱུར། །,"Molten copper, melted by intensely hot fire, is poured upon the body.<br>Flaming swords and short spears pierce the flesh, cutting it into a hundred pieces.<br>Falling onto an extremely blazing iron ground - these are the results of many negative deeds."
དེ་བས་དགེ་ལ་མོས་བྱ་ཞིང་། །གུས་པ་ཉིད་དུ་བསྒོམ་པར་བྱ། །,"Therefore, one should be devoted to virtue,<br>And meditate with reverence."
རྡོ་རྗེ་རྒྱལ་མཚན་ཆོ་ག་ཡིས། །བརྩམས་ནས་ང་རྒྱལ་བསྒོམ་པར་བྱ། །,"Through the ritual of the vajra victory banner,<br>One should begin to meditate on pride."
དང་པོར་འབྱོར་པ་བརྟགས་ནས་ནི། །བརྩམ་མམ་ཡང་ན་མི་བརྩམ་བྱ། །,"First, examine your resources,<br>Then decide whether to undertake or not undertake [the task]."
མ་བརྩམས་པ་ནི་མཆོག་ཡིན་གྱི། །བརྩམས་ནས་ལྡོག་པར་མི་བྱའོ། །,"Not starting is best,<br>But once begun, do not turn back."
སྐྱེ་བ་གཞན་དུ་དེ་གོམས་ཤིང་། །སྡིག་དང་སྡུག་བསྔལ་འཕེལ་བར་འགྱུར། །,"In other lifetimes, becoming habituated to that,<br>Negativity and suffering will increase."
གཞན་དང་འབྲས་བུའི་དུས་ཀྱང་ནི། །དམན་འགྱུར་དེ་ཡང་འགྲུབ་མི་འགྱུར། །,"Moreover, the time of fruition for others<br>Will become inferior, and that too will not be accomplished."
ལས་དང་ཉོན་མོངས་ནུས་པ་སྟེ། །གསུམ་པོ་དག་ལ་ང་རྒྱལ་བྱ། །,"Actions, afflictions, and power:<br>Take pride in these three."
བདག་ཉིད་གཅིག་པུས་བྱའོ་ཞེས། །འདི་ནི་ལས་ཀྱི་ང་རྒྱལ་ཉིད། །,"""I alone will do this"" -<br>This is the very pride of action."
ཉོན་མོངས་དབང་མེད་འཇིག་རྟེན་འདིས། །རང་དོན་སྒྲུབ་པར་མི་ནུས་པས། །,"This world, powerless under the influence of afflictions,<br>Is unable to accomplish its own purpose."
འགྲོ་བས་བདག་ལྟར་མི་ནུས་ཏེ། །,"Though beings cannot be like me,"
དེ་བས་བདག་གིས་འདི་བྱའོ། །,"Therefore, I shall do this."
གཞན་དག་དམན་པའི་ལས་བྱེད་ན། །བདག་ཉིད་ཀྱང་ནི་ཇི་ལྟར་འདུག །,"When others engage in lowly deeds,<br>How am I myself any different?"
ང་རྒྱལ་གྱིས་ནི་མི་བྱེད་དེ། །,Do not act out of pride.
བདག་ལ་ང་རྒྱལ་མེད་པ་མཆོག །,The highest state is to be free of ego.
ཤི་བའི་སྦྲུལ་དང་ཕྲད་གྱུར་ན། །ཁྭ་ཡང་མཁའ་ལྡིང་ལྟ་བུར་སྤྱོད། །,"When encountering a dead snake,<br>Even a crow behaves like a garuda."
གལ་ཏེ་བདག་ཉིད་ཉམ་ཆུང་ན། །ལྟུང་བ་ཆུང་ངུའང་གནོད་པར་བྱེད། །,"If one's self is weak,<br>Even a small mistake can cause harm."
ཞུམ་བཅས་རྩོལ་བ་དོར་བ་ལ། །ཕོངས་ལས་ཐར་བ་ཡོད་དམ་ཅི། །,Is there liberation from poverty<br>For those who abandon effort with discouragement?
ང་རྒྱལ་རྩོལ་བ་བསྐྱེད་པས་ནི། །ཆེན་པོ་ཡིས་ཀྱང་ཐུབ་པར་དཀའ། །,"By cultivating pride and exertion,<br>Even the great find it difficult to succeed."
དེ་བས་སེམས་ནི་བརྟན་པ་ཡིས། །ལྟུང་བ་རྣམས་ནི་གཞོམ་བྱ་སྟེ། །,"Therefore, with a steadfast mind,<br>One should overcome all downfalls."
བདག་ནི་ལྟུང་བས་ཕམ་བྱས་ན། །ཁམས་གསུམ་རྒྱལ་འདོད་བཞད་གད་འགྱུར། །,"If I am defeated by downfalls,<br>My desire to conquer the three realms becomes laughable."
བདག་གིས་ཀུན་ལས་རྒྱལ་བྱ་སྟེ། །,I shall be victorious over all.
བདག་ལས་སུ་ཡང་རྒྱལ་མི་བྱ། །,Do not conquer anyone but yourself.
རྒྱལ་བ་སེང་གེའི་སྲས་བདག་གིས། །ང་རྒྱལ་འདི་ལ་གནས་པར་བྱ། །,"I, the child of the Victorious Lion,<br>Shall abide in this pride."
འགྲོ་གང་ང་རྒྱལ་གྱིས་བཅོམ་དེ། །,Those beings who are overcome by pride...
ཉོན་མོངས་ང་རྒྱལ་ཅན་མ་ཡིན། །,Afflictions are not prideful.
ང་རྒྱལ་ཅན་དགྲའི་དབང་མི་འགྲོ། །,The arrogant do not fall under the power of enemies.
དེ་དག་ང་རྒྱལ་དགྲ་དབང་འགྱུར། །,Those become subject to the enemy of pride.
ཉོན་མོངས་ང་རྒྱལ་གྱིས་ཁེངས་ནི། །ངན་འགྲོར་ང་རྒྱལ་གྱིས་ཁྲིད་ཅིང་། །མི་ཡི་དགའ་སྟོན་བཅོམ་པ་དང་། །གཞན་གྱི་ཟན་ཟའི་བྲན་དང་ནི། །གླེན་པ་མི་སྡུག་ཉམ་ཆུང་དང་། །ཐམས་ཅད་དུ་ནི་བརྙས་པར་འགྱུར། །,"Filled with the affliction of pride,<br>Pride leads one to lower realms.<br>It destroys human joy and celebration,<br>Makes one a servant eating others' food,<br>Foolish, ugly, and weak.<br>Everywhere, one becomes despised."
ང་རྒྱལ་གྱིས་ཁེངས་དཀའ་ཐུབ་ཅན། །དེ་ཡང་ང་རྒྱལ་ཅན་གཏོགས་ན། །དམན་པ་ཅི་འདྲ་ཡིན་པ་སྨྲོས། །,"Those who are full of pride and practice austerities,<br>If they too are counted among the prideful,<br>What can be said of how lowly the humble are?"
གང་ཞིག་ང་རྒྱལ་དགྲ་ལས་རྒྱལ་ཕྱིར་ང་རྒྱལ་འཆང་། །དེ་ནི་ང་རྒྱལ་ཅན་དང་རྣམ་རྒྱལ་དཔའ་དེ་ཉིད། །གང་ཞིག་ང་རྒྱལ་དགྲ་བདོ་བ་ཡང་ངེས་བཅོམ་སྟེ། །,"Whoever holds pride in order to overcome the enemy of pride,<br>That one is indeed prideful and a victorious hero.<br>Whoever completely conquers even the arising of the enemy of pride,"
འགྲོ་ལ་འདོད་བཞིན་རྒྱལ་བའི་འབྲས་བུ་རྫོགས་པར་བྱེད། །,May I accomplish the fruit of enlightenment according to the wishes of all beings.
ཉོན་མོངས་ཕྱོགས་ཀྱི་ཁྲོད་གནས་ན། །རྣམ་པ་སྟོང་དུ་སྲན་གཟུགས་ཏེ། །,"If you dwell amidst afflictive emotions,<br>You will assume a thousand different forms of suffering."
ཝ་ལ་སོགས་པས་སེང་གེ་བཞིན། །ཉོན་མོངས་ཚོགས་ཀྱིས་མི་ཚུགས་བྱ། །,"Like a lion [unaffected] by foxes and such,<br>One should not be overcome by the hosts of afflictions."
ཉམ་ང་ཆེ་ཐང་བྱུང་གྱུར་ཀྱང་། །མི་ཡིས་མིག་ནི་བསྲུང་བ་ལྟར། །དེ་བཞིན་ཉམ་ང་བྱུང་གྱུར་ཀྱང་། །ཉོན་མོངས་དབང་དུ་མི་འགྱུར་བྱ། །,"Even when great misfortune befalls you,<br>Just as a person protects their eyes,<br>Likewise, even when misfortune occurs,<br>Do not fall under the power of afflictive emotions."
བདག་ནི་བསྲེགས་ཏེ་བསད་གྱུར་ཏམ། །བདག་གི་མགོ་བོ་བཅད་ཀྱང་བླ། །,"Even if I am burned and killed,<br>Or even if my head is cut off, so be it."
རྣམ་པ་ཀུན་དུ་ཉོན་མོངས་པའི། །དགྲ་ལ་འདུད་པར་མི་བྱའོ། །,"In all aspects, one should not bow down to the enemy of afflictions."
དེ་བཞིན་གནས་སྐབས་ཐམས་ཅད་དུ། །རིགས་པ་ལས་ནི་གཞན་མི་སྤྱད། །,"Likewise, in all circumstances,<br>One should not practice anything other than reason."
རྩེད་མོའི་བདེ་འབྲས་འདོད་པ་ལྟར། །འདི་ཡིས་བྱ་བའི་ལས་གང་ཡིན། །,"Like desiring the pleasant fruits of play,<br>What actions are to be done by this?"
ལས་དེ་ལ་ནི་ཞེན་བྱ་སྟེ། །,One should be attached to that action.
ལས་དེས་མི་ངོམས་དགའ་བར་བྱ། །,Be joyful and never satisfied with that action.
བདེ་བའི་དོན་དུ་ལས་བྱས་ཀྱང་། །བདེ་འགྱུར་མི་འགྱུར་གཏོལ་མེད་ཀྱི། །,"Though one acts for the sake of happiness,<br>Whether happiness will result or not is uncertain."
གང་གི་ལས་ཉིད་བདེ་འགྱུར་བ། །དེ་ལས་མི་བྱེད་ཇི་ལྟར་བདེ། །,How can one be happy<br>By not doing that very action<br>Which brings about happiness?
སྤུ་གྲིའི་སོར་ཆགས་སྦྲང་རྩི་ལྟའི། །འདོད་པ་རྣམས་ཀྱིས་མི་ངོམས་ན། །རྣམ་སྨིན་བདེ་ལ་ཞི་བ་ཡི། །བསོད་ནམས་ཀྱིས་ལྟ་ཅི་སྟེ་ངོམས། །,"Like honey on the edge of a razor,<br>If one is not satisfied by sensual pleasures,<br>How much less can one be satisfied<br>By virtuous deeds that ripen as peace and bliss?"
དེ་ལྟས་ལས་ཚར་ཕྱིན་བྱའི་ཕྱིར། །ཉི་མ་ཕྱེད་དུས་གདུངས་པ་ཡི། །གླང་ཆེན་མཚོ་ཕྲད་མཚོར་འཇུག་ལྟར། །ལས་དེ་ལ་ཡང་འཇུག་པར་བྱ། །,"Therefore, in order to complete the task,<br>Like an elephant scorched by the midday sun<br>Plunges into a lake upon encountering it,<br>One should likewise plunge into that task."
སྟོབས་ཉམས་པ་དང་རྗེས་འབྲེལ་ན། །སླར་བྱའི་དོན་དུ་དོར་བར་བྱ། །,"When strength is diminished and connection is lost,<br>One should abandon it in order to renew."
ལེགས་པར་ཟིན་ན་ཕྱི་མ་དང་། །ཕྱི་མ་འདོད་པས་དེ་སྤང་བྱ། །,"If one grasps it well, it is the hereafter.<br>Desiring the hereafter, one should abandon this."
འཐབ་རྙིང་དགྲ་དང་ལྷན་ཅིག་ཏུ། །གཡུལ་ངོར་རལ་ཁ་ལྷགས་པ་བཞིན། །ཉོན་མོངས་མཚོན་ལས་གཟུར་བྱ་ཞིང་། །ཉོན་མོངས་དགྲ་རྣམས་གཞོམ་པར་བཏེག །,"Like facing an old enemy<br>On the battlefield with drawn swords,<br>One should dodge the weapons of afflictions<br>And strive to defeat the foes of mental defilements."
གཡུལ་དུ་རལ་གྲི་ལྷུང་གྱུར་ན། །འཇིགས་པས་མྱུར་དུ་ལེན་པ་ལྟར། །དེ་བཞིན་དྲན་པའི་མཚོན་ཤོར་ན། །དམྱལ་བའི་འཇིགས་དྲན་མྱུར་དུ་བླང་། །,"If a sword falls on the battlefield,<br>One quickly picks it up out of fear.<br>Likewise, if the weapon of mindfulness is lost,<br>Swiftly recollect the terrors of hell."
ཇི་ལྟར་ཁྲག་ལ་བརྟེན་བཅས་ནས། །དུག་ནི་ལུས་ལ་ཁྱབ་འགྱུར་བ། །དེ་བཞིན་གླགས་ནི་རྙེད་གྱུར་ན། །ཉེས་པས་སེམས་ལ་ཁྱབ་པར་འགྱུར། །,"Just as poison spreads throughout the body<br>When it enters the bloodstream,<br>So too do faults pervade the mind<br>When they find an opportunity."
ཡུངས་མར་བཀང་བའི་སྣོད་བཀུར་ལ། །རལ་གྲི་ཐོགས་པས་དྲུང་བསྡད་དེ། །,"Carrying a vessel filled with mustard oil,<br>While a sword-bearer sits nearby."
བོ་ན་གསོད་བསྡིགས་འཇིགས་པ་ལྟར། །བརྟུལ་ཞུགས་ཅན་གྱིས་དེ་བཞིན་སྒྲིམ། །,"Just as one fears the threat of death,<br>So should the disciplined practitioner strive diligently."
དེ་བས་པང་དུ་སྦྲུལ་འོངས་ན། །ཇི་ལྟར་རིངས་པར་ལྡང་བ་ལྟར། །དེ་བཞིན་གཉིད་དང་སྙོམ་འོངས་ན། །མྱུར་དུ་དེ་དག་བཟློག་པར་བྱ། །,"Therefore, just as one would quickly rise<br>If a snake came into one's lap,<br>Likewise, when sleep and laziness come,<br>One should swiftly turn them away."
ཉེས་པ་བྱུང་བ་རེ་རེ་ཞིང་། །བདག་ལ་སྨད་ནས་ཅི་ནས་ཀྱང་། །བདག་ལ་ཕྱིས་འདི་མི་འབྱུང་བ། །དེ་ལྟར་བྱ་ཞེས་ཡུན་རིང་བསམ། །,"For each fault that occurs,<br>Having criticized myself, by all means<br>So that this does not happen to me again in the future,<br>I will think long and hard about how to act accordingly."
ཇི་ལྟར་གནས་སྐབས་འདི་དག་ལ། །དྲན་པ་གོམས་པ་ཉིད་འགྱུར་ཞེས། །རྒྱུ་འདི་ཡིས་ནི་ཕྲད་པའམ། །རིགས་པའི་ལས་ནི་འདོད་པར་བྱ། །,"Just as one becomes accustomed to mindfulness<br>In these temporary states,<br>Through this cause, one should desire<br>To encounter or engage in logical actions."
ཅི་ནས་ལས་བྱེད་སྔོན་རོལ་ནས། །ཐམས་ཅད་ལ་ནི་མཐུ་ཡོད་པ། །དེ་ལྟར་བག་ཡོད་གཏམ་དྲན་ཏེ། །བདག་ཉིད་ལྡང་བ་ཡང་བར་བྱ། །,"Before undertaking any action,<br>One should have the ability for all things.<br>Thus, mindful of careful speech,<br>One should rise up lightly oneself."
ཇི་ལྟར་རླུང་ནི་འགྲོ་བ་དང་། །འོང་བས་ཤིང་བལ་དབང་བསྒྱུར་བ། །དེ་བཞིན་སྤྲོ་བས་དབང་བསྒྱུར་ཏེ། །དེ་ལྟར་ན་ནི་འགྲུབ་པར་འགྱུར། །,"Just as the wind controls cotton,<br>Moving it to and fro,<br>So too does enthusiasm control us.<br>In this way, accomplishment arises."
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ལས། བརྩོན་འགྲུས་བསྟན་པ་ཞེས་བྱ་བ་སྟེ་ལེའུ་བདུན་པའོ།། །།,"From ""Entering the Conduct of Bodhisattvas"":<br>This is the seventh chapter, called ""Teaching on Diligence""."
དེ་ལྟར་བརྩོན་འགྲུས་བསྐྱེད་ནས་ནི། །ཡིད་ནི་ཏིང་ངེ་འཛིན་ལ་བཞག །,"Having thus generated diligence,<br>Place the mind in meditative concentration."
སེམས་ནི་རྣམ་པར་གཡེངས་པའི་མི། །ཉོན་མོངས་མཆི་བའི་ཕྲག་ན་གནས། །,The mind of a distracted person<br>Dwells in the jaws of afflictive emotions.
ལུས་དང་སེམས་ནི་དབེན་པ་ཡིས། །རྣམ་པར་གཡེང་བ་མི་འབྱུང་ངོ་། །,"Through seclusion of body and mind,<br>Distractions do not arise."
དེ་བས་འཇིག་རྟེན་སྤང་བྱ་ཞིང་། །རྣམ་པར་རྟོག་པ་ཡོངས་སུ་དོར། །,"Therefore, abandon worldly concerns,<br>And completely relinquish conceptual thoughts."
ཆགས་པའི་ཕྱིར་དང་རྙེད་སོགས་ལ། །སྲེད་པས་འཇིག་རྟེན་མི་སྤོང་སྟེ། །,"Due to attachment and craving for gain and the like,<br>One does not renounce the world."
དེ་བས་འདི་དག་ཡོངས་སྤོངས་ལ། །མཁས་པས་འདི་ལྟར་དཔྱད་པར་བྱ། །,"Therefore, completely abandon these [distractions],<br>And the wise should investigate in this way."
ཞི་གནས་རབ་ཏུ་ལྡན་པའི་ལྷག་མཐོང་གིས། །ཉོན་མོངས་རྣམ་པར་འཇོམས་པར་ཤེས་བྱས་ནས། །ཐོག་མར་ཞི་གནས་བཙལ་བྱ་དེ་ཡང་ནི། །འཇིག་རྟེན་ཆགས་པ་མེད་ལ་མངོན་དགས་འགྲུབ། །,"tags:<br><br><t><br>Knowing that special insight endowed with perfect calm abiding<br>Thoroughly destroys the afflictions,<br>One should first seek calm abiding.<br>This is accomplished through joy in detachment from worldly concerns."
མི་རྟག་སུ་ཞིག་མི་རྟག་ལ། །ཡང་དག་ཆགས་པར་བྱེད་པ་ཡོད། །,Who among the impermanent does not cling<br>To that which is truly impermanent?
དེས་ནི་ཚེ་རབས་སྟོང་ཕྲག་ཏུ། །སྡུག་པ་མཐོང་བར་ཡོང་མི་འགྱུར། །,"For thousands of lifetimes,<br>One will never again see suffering."
མ་མཐོང་ན་ནི་དགར་མི་འགྱུར། །,"If not seen, one does not become happy."
ཡིད་ཀྱང་མཉམ་འཇོག་མི་འགྱུར་ལ། །,The mind also does not remain in meditative equipoise.
མཐོང་ཡང་ངོམས་པར་མི་འགྱུར་བས། །སྔར་བཞིན་སྲེད་པས་གདུང་བར་འགྱུར། །,"tags:<br><br><t><br>Though one sees, one does not become satisfied.<br>As before, one becomes tormented by craving."
སེམས་ཅན་རྣམས་ལ་ཆགས་བྱས་ན། །ཡང་དག་ཉིད་ལ་ཀུན་ནས་སྒྲིབ། །,"If one becomes attached to sentient beings,<br>It completely obscures the ultimate truth."
སྐྱོ་བའི་སེམས་ཀྱང་འཇིག་པར་བྱེད། །,It also destroys the mind of weariness.
ཐ་མར་མྱ་ངན་གདུང་བར་འགྱུར། །,"In the end, it leads to sorrow and anguish."
དེ་ལ་སེམས་པ་འབའ་ཞིག་གིས། །ཚེ་འདི་དོན་མེད་འདའ་བར་འགྱུར། །,"By mere thinking alone,<br>This life will pass without meaning."
རྟག་པ་མེད་པའི་མཛའ་བཤེས་ཀྱིས། །གཡུང་དྲུང་ཆོས་ཀྱང་འཇིག་པར་འགྱུར། །,"By impermanent friends,<br>Even the eternal dharma will be destroyed."
བྱིས་དང་སྐལ་བ་མཉམ་སྤྱོད་ན། །ངེས་པར་ངན་འགྲོར་འགྲོ་འགྱུར་ཏེ། །,"If you associate with childish people and those of equal fortune,<br>You will certainly fall into lower realms."
སྐལ་མི་མཉམ་པར་ཁྲིད་བྱེད་ན། །བྱིས་པ་བསྟེན་པས་ཅི་ཞིག་བྱ། །,"If one leads unequally,<br>What use is there in relying on the childish?"
སྐད་ཅིག་གཅིག་གིས་མཛའ་འགྱུར་ལ། །ཡུད་ཙམ་གྱིས་ནི་དགྲར་ཡང་འགྱུར། །,"In an instant, one can become a friend.<br>In a moment, one can also become an enemy."
དགའ་བའི་གནས་ལ་ཁྲོ་བྱེད་པས། །སོ་སོའི་སྐྱེ་བོ་མགུ་བར་དཀའ། །,"By getting angry at joyful situations,<br>It is difficult for ordinary beings to be pleased."
ཕན་པར་སྨྲས་ན་ཁྲོ་བར་བྱེད། །,"When spoken to beneficially, they become angry."
བདག་ཀྱང་ཕན་ལས་བཟློག་པར་བྱེད། །,I also act contrary to [my own] benefit.
དེ་དག་ངག་ནི་མ་མཉན་ན། །ཁྲོ་བས་ངན་འགྲོར་འགྲོ་བར་འགྱུར། །,"If one does not listen to their words,<br>Through anger, one will go to the lower realms."
མཐོ་ལ་ཕྲག་དོག་མཉམ་དང་འགྲན། །དམའ་ལ་ང་རྒྱལ་བསྟོད་ན་དྲེགས། །མི་སྙན་བརྗོད་ན་ཁོང་ཁྲོ་སྐྱེ། །,"Towards those above, jealousy, rivalry and competition arise.<br>Towards those below, pride and arrogance when praised.<br>When hearing unpleasant words, anger is born."
ནམ་ཞིག་བྱིས་ལས་ཕན་པ་ཐོབ།,"At some point, one obtains benefit from childish actions."
 བྱིས་དང་འགྲོགས་ན་བྱིས་པ་ལ། །བདག་བསྟོད་གཞན་ལ་སྨོད་པ་དང་། །འཁོར་བར་དགའ་བའི་གཏམ་ལ་སོགས། །མི་དགེ་ཅིས་ཀྱང་ངེས་པར་འབྱུང་། །,"When associating with the childish,<br>Self-praise, criticism of others,<br>And talk delighting in samsara -<br>Such non-virtues will certainly arise."
དེ་ལྟར་བདག་དང་གཞན་བསྟེན་པ། །དེས་ནི་ཕུང་བར་འགྱུར་བར་ཟད། །,"Thus, clinging to self and others<br>Will only lead to ruin."
དེས་ཀྱང་བདག་དོན་མ་བྱས་ལ། །བདག་ཀྱང་དེ་དོན་མི་འགྱུར་བས། །བྱིས་ལས་ཐག་རིང་བྱོལ་བར་བྱ། །,"Neither did they act for my benefit,<br>Nor will I become beneficial to them.<br>Therefore, one should flee far away from the childish."
